"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $30.37/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode"
"0x20e18ee57d0f195ee8a4953c2e431ff6bcdbb874ceeca18099843fec6f96e0d2","1481527","1603116363","2020-10-19 14:06:03","0x46b47f655a93b7b931f8e8476ed3a55cdcb701a3","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001197","0.03635289","","","",""
"0xa52b6ce6a68f06ad7de1c255a488742d0f8faf51ecfb7b72a45de31ef4d767f2","1481527","1603116363","2020-10-19 14:06:03","0xe51caed6c2babb7dab147e411df33c19431832a9","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001197","0.03635289","","","",""
"0x7b19b8889359532c97d8ac8583a25fd723c1778456fa6a977809c5516d8fb982","1481527","1603116363","2020-10-19 14:06:03","0x9229f4bb28f9f2dbde20defb64691a121190d41e","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001176","0.03571512","","","",""
"0xb658f7002291acc067a881d1e01615d09eaf4c21849226f4f54dae41bcaa71c3","1481527","1603116363","2020-10-19 14:06:03","0x1ec1a2a376e58a55c4e5e2e2a36f3bab65df54e7","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001176","0.03571512","","","",""
"0x648d78925855fbcb85e0b4340cfb71dcf1b7d60f99453f3675590e74380b45a9","1481527","1603116363","2020-10-19 14:06:03","0x30ed73e8bf9ade841779d76ba332aefb9af31dee","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001176","0.03571512","","","",""
"0x59436877002d3bfe3b36dcd87835c4c21cc264b9cda358f4b2d270839188140c","1481527","1603116363","2020-10-19 14:06:03","0xc16706c4190f0af62ecc5e28c35c404f10f38f1a","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001176","0.03571512","","","",""
"0xdb6b9d4a7f3dc45db4461740fcf8223870525f57975889c52331deec75f2bf6c","1481527","1603116363","2020-10-19 14:06:03","0x8f8ec22a2e02dba8d765d2ef537345f0dc5a9a5a","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001176","0.03571512","","","",""
"0x84940f56f84b080c612dfd52195efe6c4b6aed7da09f167160e87693aafb7b60","1481527","1603116363","2020-10-19 14:06:03","0x4688e3827a50c6fba311bd0aa91e86dc3f0b363b","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001176","0.03571512","","","",""
"0x5b86bab902817c3c2dffeaf930c36f895c79efab38c66c6ed6928febda3d9677","1481527","1603116363","2020-10-19 14:06:03","0xf79ecde507daf989f4a49865b9ab670f6c194525","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.001176","0.03571512","","","",""
"0xf4daab61858611dc72630faa54076f764ad38de44415c949dd200a4bf146899b","1481527","1603116363","2020-10-19 14:06:03","0x333aef3bc8d2daa09b3caa045cf8a181ee4e4558","0xd2c936e84af02521dbe892774aa5e8dffe3d76b9","","0.003","0","0.09111","0.000483","0.01466871","","","",""
